interval,seller_nace4d,n_cells,mean_n_supp,p10_n_supp,p25_n_supp,median_n_supp,p75_n_supp,p90_n_supp,p99_n_supp,max_n_supp,share_eq_1,share_eq_2,share_3_to_5,share_6_to_10,share_ge_11,share_ge_2
interval_2006_07,1722,618,1.23139158576052,1,1,1,1,2,3.83000000000004,5,0.831715210355987,0.119741100323625,0.0485436893203884,0,0,0.168284789644013
interval_2006_07,2443,573,1.14659685863874,1,1,1,1,2,2,5,0.865619546247818,0.12739965095986,0.00698080279232112,0,0,0.134380453752182
interval_2006_07,2441,539,1.02040816326531,1,1,1,1,1,2,2,0.979591836734694,0.0204081632653061,0,0,0,0.0204081632653061
interval_2006_07,4950,455,1.01978021978022,1,1,1,1,1,2,2,0.98021978021978,0.0197802197802198,0,0,0,0.0197802197802198
interval_2006_07,3522,444,1.20945945945946,1,1,1,1,2,2,3,0.797297297297297,0.195945945945946,0.00675675675675676,0,0,0.202702702702703
interval_2006_07,1041,443,1.25507900677201,1,1,1,1,2,4,6,0.812641083521445,0.137697516930023,0.0474040632054176,0.00225733634311512,0,0.187358916478555
interval_2006_07,1062,441,1.03174603174603,1,1,1,1,1,2,3,0.975056689342404,0.018140589569161,0.00680272108843537,0,0,0.0249433106575964
interval_2006_07,2060,305,1.54426229508197,1,1,1,2,3,6.95999999999998,7,0.747540983606557,0.108196721311475,0.127868852459016,0.0163934426229508,0,0.252459016393443
interval_2006_07,2452,293,1.25255972696246,1,1,1,1,2,3,5,0.808873720136519,0.139931740614334,0.0511945392491468,0,0,0.191126279863481
interval_2006_07,2017,293,1.05119453924915,1,1,1,1,1,2,3,0.95221843003413,0.0443686006825939,0.00341296928327645,0,0,0.0477815699658703
interval_2006_07,3030,291,1.35051546391753,1,1,1,1,2,6,8,0.81786941580756,0.103092783505155,0.0652920962199313,0.013745704467354,0,0.18213058419244
interval_2006_07,1106,179,1.16759776536313,1,1,1,1,2,3,3,0.854748603351955,0.122905027932961,0.0223463687150838,0,0,0.145251396648045
interval_2006_07,2540,177,1.23728813559322,1,1,1,1,2,3,8,0.830508474576271,0.129943502824859,0.0338983050847458,0.00564971751412429,0,0.169491525423729
interval_2006_07,1395,129,1,1,1,1,1,1,1,1,1,0,0,0,0,0
